title,body,labels
"Migrer build de Webpack vers Vite","- Simplifier la configuration\n- Bénéficier du HMR et d’un dev server rapide","P0,FE"
"Refondre popup & page d’options en React/Preact + Tailwind CSS","- Composants réutilisables (Listes, Modales)\n- Design mobile-first","P1,FE"
"Implémenter Mode Sombre","- Détection des préférences système et thème optionnel","P1,FE"
"Mettre en place Storybook","- Prévisualiser les composants UI et faciliter la contribution externe","P2,FE"
"Créer module config.js (dotenv)","- Isoler URLs et clés API\n- Charger via variables d’environnement","P0,BE"
"Évaluer & migrer stockage JSON vers SQLite","- Indexation, versioning, cache intelligent","P0,BE"
"Exposer API interne pour gestion des sites","- Améliorer src/datas-edit/url-checker en RESTful service","P1,BE"
"Implémenter rate-limiting pour appels externes","- Limiter le taux de requêtes vers API tiers","P1,BE"
"Écrire tests End-to-End (Playwright / Puppeteer)","- Couvrir les parcours clés de l’extension","P0,QA"
"Tester content scripts avec Jest + jsdom","- Simuler l’injection et l’interaction sur pages web","P0,QA"
"Automatisation de la validation des URLs & monitoring 404","- Configurer des tests réguliers et alertes","P1,QA"
"Intégrer rapport de couverture (Istanbul/nyc)","- Mettre seuil minimal et pipeline CI","P1,QA"
"Tests de performance automatisés (Lighthouse CI)","- Mesurer régulièrement temps de chargement et classification","P2,QA"
"Mettre en place GitHub Actions CI","- Lint, tests, build sur chaque push/PR","P0,DevOps"
"Configurer Dependabot","- Mises à jour automatiques des dépendances","P1,DevOps"
"Implémenter release automatique (semantic-release)","- Génération automatique des releases","P1,DevOps"
"Intégrer monitoring d’erreurs (Sentry / LogRocket)","- Envoyer logs et erreurs en production","P1,DevOps"
"Audit de sécurité automatisé (npm audit dans CI)","- Scanner les vulnérabilités lors du CI","P2,DevOps"
"Créer maquettes popup & options (light/dark)","- Définir l’UI pour les deux thèmes","P1,UX"
"Valider accessibilité WCAG","- Contraste, navigation clavier, aria-labels","P1,UX"
"Documenter guidelines Tailwind","- Typographie, couleurs, spacing","P2,UX"
"Prototype interactions et animations","- Définir transitions et micro-interactions","P2,UX"
"Rédiger CONTRIBUTING.md & CODE_OF_CONDUCT.md","- Documentation pour contributeurs","P0,Docs"
"Créer templates Issue & PR dans .github/","- Standardiser les rapports et PR","P1,Docs"
"Ajouter CODEOWNERS et labels GitHub","- Définir responsables et taxonomy des labels","P1,Docs"
"Documenter architecture (architecture.md)","- Expliquer le découpage modules et flux de données","P1,Docs"
"Mettre à jour README.md (badges, setup)","- Ajouter badges, instructions d’installation","P2,Docs"
"Vérifier manifest.json : permissions strictement nécessaires","- Retirer <all_urls> si possible","P0,Security"
"Stockage sécurisé des clés API (chrome.storage.sync chiffré)","- Ne pas inclure les clés dans le code","P1,Security"
"Auditer les dépendances pour vulnérabilités","- Analyser et corriger les packages à risque","P2,Security"